Item,Part Number,Description,Quantity,Unit Price (USD),Total Price (USD),Supplier,Package/Footprint
1,STM32G474RET6,Main MCU - 170 MHz Cortex-M4F with CORDIC+FMAC,1,5.80,5.80,ST/LCSC,LQFP64
2,ESP32-C3-MINI-1,Wireless module - BLE 5.0 + WiFi,1,2.60,2.60,Espressif/LCSC,SMD module
3,Si5351A-B-GT,I2C-programmable clock generator 8 kHz-160 MHz,1,2.50,2.50,Silicon Labs/DigiKey,MSOP-10
4,LTC1968,Precision RMS-to-DC converter 500 kHz BW,1,4.20,4.20,ADI/DigiKey,MSOP-8
5,ADS122U04,24-bit delta-sigma ADC SPI 2 kSPS,1,3.40,3.40,TI/DigiKey,TSSOP-16
6,ADG918,RF switch DC-1 GHz SPDT 50 ohm,2,1.20,2.40,ADI/DigiKey,SC-70-6
7,OPA656,Broadband JFET op-amp 500 MHz GBW,2,1.70,3.40,TI/DigiKey,SOT-23-6
8,SH1106-1.3,1.3 inch OLED display 128x64 I2C,1,2.80,2.80,Solomon/Generic,module
9,MicroSD-socket,MicroSD card socket push-push,1,0.60,0.60,Amphenol/DigiKey,SMD
10,W25Q128JVSIQ,16MB SPI flash for data/params,1,0.60,0.60,Winbond/LCSC,SOIC-8
11,DS18B20,Digital temperature sensor ±0.5°C,1,0.80,0.80,Maxim/DigiKey,TO-92
12,BME280,Temperature/humidity/pressure sensor,1,1.20,1.20,Bosch/LCSC,SMD LGA
13,TEC1-12704,Peltier thermoelectric cooler 4A,1,2.10,2.10,Generic/AliExpress,40x40mm
14,PT1000-4wire,PT1000 4-wire RTD class A,1,1.50,1.50,Adafruit/Generic,probe
15,LMT85,Analog temp sensor for TEC cold-side,1,0.40,0.40,TI/DigiKey,SC-70-5
16,DRV8833,Dual H-bridge motor driver,1,0.80,0.80,TI/DigiKey,SOIC-16
17,28BYJ-48,5V unipolar stepper for rotary valve,1,1.50,1.50,Generic/AliExpress,round
18,ULN2003APG,Darlington array for 28BYJ-48,1,0.30,0.30,TI/DigiKey,DIP-16
19,Peristaltic-pump,Mini 12V peristaltic pump 0.5-5 mL/min,1,3.20,3.20,Generic/AliExpress,motor+pump
20,MT3601,DC-DC boost converter 5-28V for TEC,1,0.50,0.50,Generic/LCSC,module
21,LP403450,3.7V 2000mAh LiPo battery,1,4.50,4.50,Generic/AliExpress,40x34x5mm
22,MCP73831T-2ACI,Single-cell LiPo charge controller 500mA,1,0.70,0.70,Microchip/DigiKey,SOT-23-5
23,TPS63020,3.3V buck-boost converter 2A,1,2.10,2.10,TI/DigiKey,QFN-14
24,TPS7A4700,Low-noise LDO 3.3V for analog rail,1,0.90,0.90,TI/DigiKey,TO-263
25,INA181A1,Current sense amplifier 20V/V,1,0.50,0.50,TI/DigiKey,SOT-563
26,QCM-5MHz,5 MHz AT-cut quartz crystal QCM,3,1.50,4.50,Generic/AliExpress,14mm
27,QCM-holder,QCM crystal holder with O-ring flow cell,2,3.00,6.00,Generic/AliExpress,machined
28,USB-C-16P,USB Type-C receptacle 16-pin,1,0.40,0.40,Generic/LCSC,SMD
29,Crystal-32.768,32.768 kHz crystal for RTC,1,0.15,0.15,Generic/LCSC,SMD 3215
30,STM32-Header,SWD programming header 2x5 1.27mm,1,0.10,0.10,Generic/LCSC,SMD
31,Buzzer-5V,Piezo buzzer for alerts,1,0.20,0.20,Generic/LCSC,SMD
32,Button-tact,6x6mm tactile buttons,2,0.10,0.20,Generic/LCSC,SMD
33,LED-RGB,RGB LED 5050 common cathode,1,0.15,0.15,Generic/LCSC,SMD
34,Reed-switch,Magnetic reed switch for lid interlock,1,0.15,0.15,Generic/LCSC,glass
35,0603 passives,Resistors/capacitors/ferrite beads set,60,0.02,1.20,Generic/LCSC,0603
36,PCB-4layer,4-layer PCB 90x60mm,5,0.40,2.00,JLCPCB,custom
37,Enclosure-3D,3D-printed PETG enclosure + flow cell,1,0.00,0.00,DIY,custom
38,M2-screws,M2 stainless screws/nuts set,20,0.02,0.40,AliExpress,M2
39,SMA-connector,Edge-mount SMA for crystal access (optional),2,0.40,0.80,Amphenol/LCSC,edge
40,TF-110-3mm,PTFE tubing 3mm OD for liquid path,1,0.30,0.30,AliExpress,3mm
41,Flow-cell-3D,3D-printed PEEK-like flow cell,1,0.00,0.00,DIY,custom
42,Pin-header-2.54,2.54mm pin headers for breakouts,1,0.20,0.20,Generic/LCSC,through-hole
,,TOTAL,,,69.30,
