Ref,Designator,Value,Footprint,Qty,Unit USD,Total USD,Note,Source
U1,STM32G474RET6,STM32G474RET6,LQFP-64_10x10mm_P0.5mm,1,6.40,6.40,SoC ARM Cortex-M4F 170MHz CORDIC FMAC HRTIM,Mouser
U2,TP4056,TP4056,SOP-8,1,0.45,0.45,Li-ion charger,LCSC
U3,MCP1640B,MCP1640B,SOT-23-5,1,1.10,1.10,3.7V→5V boost for blower,LCSC
U4,AP2112-3.3,AP2112-3.3,SOT-23-5,1,0.30,0.30,3.3V digital LDO,LCSC
U5,LP5907-3.3,LP5907-3.3,SOT-23-5,1,1.20,1.20,Ultra-low-noise 3.3V analog LDO,Mouser
U6,REF3030,REF3030,SOT-23-3,1,1.80,1.80,3.0V 0.2% VREF for ADC,Mouser
U7,OPT101,OPT101,SO-8,1,4.50,4.50,Photodiode + TIA monolithic (650nm),TI
U8,SDP810,SDP810,SDP8xx,1,6.80,6.80,Differential pressure sensor for airflow,Sensirion
U9,SHT45,SHT45-AD1B,DFN-8,1,1.80,1.80,Temp/RH sensor (high accuracy),Sensirion
U10,BME280,BME280,LGA-8,1,2.50,2.50,Pressure + backup T/RH,Bosch
U11,ESP32-C3-MINI-1,ESP32-C3-MINI-1,Module,1,2.70,2.70,BLE/WiFi bridge,LCSC
U12,SH1106 OLED,SH1106 1.3" 128x64 I2C,Module,1,2.80,2.80,OLED display,LCSC
U13,NCP500,NCP500,SOT-23-5,1,0.90,0.90,Laser diode constant-current driver,ON Semi
D1,Laser diode,5mW 650nm,TO-18,1,1.20,1.20,5 mW 650 nm laser diode,LCSC
D2,Monitor PD,BPW34,Photodiode,1,0.60,0.60,Monitor photodiode for laser power feedback,LCSC
M1,Blower,Micro blower 5V,Custom,1,4.50,4.50,Brushless micro blower (1 L/min),Jameco
F1,HEPA prefilter,HEPA 25mm disc,Custom,1,1.50,1.50,Optional HEPA prefilter for zero test,Amazon
J1,USB-C,USB-C 2.0 receptacle,USB-C 16-pin,1,0.60,0.60,Charge port,LCSC
J2,MicroSD,MicroSD socket push-push,MMCX,1,1.10,1.10,SD card slot,LCSC
J3,Inlet nozzle,3D-printed nozzle,Custom,1,1.00,1.00,Aerosol inlet nozzle,Local
SW1,EC11 encoder,EC11 rotary encoder,EC11,1,1.20,1.20,Rotary nav,LCSC
SW2,Scan button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Scan/start,LCSC
SW3,Mode button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Mode/stop,LCSC
SW4,Reed switch,Reed switch NO,Reed,1,0.50,0.50,Cell cover interlock (laser safety),LCSC
D3,WS2812B,WS2812B,LED-5050,1,0.20,0.20,RGB status LED,LCSC
R1,PD load,10M 1%,R_0603,1,0.02,0.02,Photodiode feedback,LCSC
R2-R5,Gain/divider,10k 1%,R_0603,4,0.02,0.08,Various pull-ups/dividers,LCSC
R6,Battery divider,100k 1%,R_0603,2,0.02,0.04,Vbat 2:1 divider,LCSC
R7,Laser PD load,1M 1%,R_0603,1,0.02,0.02,Monitor PD load,LCSC
R8,Blower current,0.1R 1%,R_0805,1,0.10,0.10,Blower current sense,LCSC
C1-C6,Decoupling 100n,100n X7R,C_0603,6,0.02,0.12,Decoupling,LCSC
C7-C8,Decoupling 10u,10u X5R,C_0805,2,0.05,0.10,Bulk decoupling,LCSC
C9,VREF cap,1u X7R,C_0603,1,0.03,0.03,VREF decoupling,LCSC
C10,PD cap,1n C0G,C_0603,1,0.05,0.05,Photodiode high-freq bypass,LCSC
L1-L2,Ferrite beads,BLM18PG121,FB-0603,2,0.10,0.20,Analog/digital isolation,LCSC
PCB,PCB,4-layer 80x50mm,JLCPCB,1,4.00,4.00,4-layer PCB fab,JLCPCB
MISC,Optical cell,3D-printed black PLA,Custom,1,3.00,3.00,Scattering chamber + nozzle,Local
MISC,Enclosure,3D-printed PLA,Custom,1,1.50,1.50,Case (optional),Local
BT1,18650 holder,18650 3.7V 2600mAh,Keystone 1042,1,2.50,2.50,Battery (not in BOM cost),Local
,,Total,,,,~$52.00,,
