Reference,Qty,Part,Manufacturer,MPN,Description,Unit Cost,Total Cost,Source
U1,1,nRF52840 SoC module,Raytac,MDBT50Q-1M,Pre-certified BLE 5 nRF52840 module (1MB flash 256KB RAM),22.00,22.00,Mouser
U2,1,SX1262 LoRa transceiver,Semtech,SX1262IMLTRTC,Sub-GHz LoRa radio 150-960MHz +22dBm,8.50,8.50,DigiKey
U3,1,TCA9548A I2C multiplexer,Texas Instruments,TCA9548APWR,4-channel (8-ch) I2C mux for multi-mussel heads,1.80,1.80,Mouser
U4,1,ADS1115 16-bit ADC,Texas Instruments,ADS1115IDGSR,16-bit ADC PGA I2C for Hall sensor digitization,3.20,3.20,DigiKey
U5,1,DRV5053 Hall sensor,Texas Instruments,DRV5053VAQDBZR,Analog ratiometric linear Hall effect sensor SOT-23,1.40,1.40,Mouser
U6,1,DS18B20 temperature probe,Maxim Integrated,DS18B20+,Waterproof 1-Wire digital temperature probe,3.50,3.50,Adafruit
U7,1,MS5837-02BA pressure sensor,TE Connectivity,MS583702BA01-50,Submersible I2C pressure/depth sensor 0-30m,12.00,12.00,DigiKey
U8,1,BME280 barometric sensor,Bosch,BME280,Baro+temp+humidity I2C (air pod compensation),2.50,2.50,Adafruit
U9,1,Atlas Scientific DO EZO,Atlas Scientific,EZO-DO,Dissolved oxygen probe interface I2C,42.00,42.00,Atlas Scientific
U10,1,MCP73871 charge controller,Microchip,MCP73871T-I/ML,Solar LiPo charge controller 1A,2.80,2.80,Mouser
U11,1,TPL9102 LDO regulator,Texas Instruments,TPL9102,3.3V LDO 200mA ultra-low Iq,1.20,1.20,DigiKey
D1,1,Schottky diode,ON Semiconductor,MBR0540T1G,Solar panel reverse-current protection Schottky,0.30,0.30,Mouser
D2,1,Status LED blue,Kingbright,APTD1608QBC/D,Blue 0805 SMD LED status indicator,0.15,0.15,DigiKey
D3,1,Alert LED red,Kingbright,APT1608SECK,Red 0805 SMD LED alert indicator,0.15,0.15,DigiKey
J1,1,Magnetic reed switch,Littelfuse,MIT12-1A85-712,Hermetically sealed reed switch for external mode,1.50,1.50,Mouser
J2,1,IP68 cable gland,Lapp,SKINTOP-M12,Marine cable gland for sensor head cable,2.00,2.00,DigiKey
K1,1,Magnet N52 neodymium,Applied Magnets,N52-2x2x1mm,N52 neodymium magnet 2x2x1mm for valve B,0.20,0.20,eBay
BAT1,1,LiPo battery 2000mAh,Adafruit,328,3.7V 2000mAh LiPo battery with PCM,6.00,6.00,Adafruit
SOL1,1,2W solar panel 5x5cm,Adafruit,500,6V 2W marine-rated solar panel IP67,4.00,4.00,Adafruit
SD1,1,MicroSD socket,Amphenol,114-00841-68,SPI mode microSD card socket for logging,1.50,1.50,DigiKey
ANT1,1,868MHz LoRa antenna,Adafruit,1990,868/915 MHz whip antenna with SMA connector + IP67,5.00,5.00,Adafruit
CL1,1,Titanium shell clip,custom,CUSTOM-TI-CLIP,Titanium spring clip for mussel shell attachment,8.00,8.00,custom fab
ENC1,1,IP67 electronics enclosure,Hammond,1554BGYCL,70x50x30mm IP67 enclosure with gasket,4.00,4.00,Mouser
ENC2,1,IP68 sensor head enclosure,custom,CUSTOM-IP68-HEAD,IP68 potted sensor head with epoxy marine grade,5.00,5.00,custom
C1-C6,6,100nF ceramic cap,KEMET,C0805C104J5RACTU,0.1uF 50V X7R 0805 decoupling capacitors,0.10,0.60,DigiKey
C7,2,10uF ceramic cap,Taiyo Yuden,LMK212BJ106KG-T,10uF 25V X5R 0805 bulk capacitors,0.20,0.40,DigiKey
C8,1,4.7uF tantalum,KEMET,T520B475M2R6ATE040,4.7uF tantalum for LDO stability,0.50,0.50,Mouser
R1-R4,4,4.7k resistor,Yageo,RC0805FR-074KL,4.7k 1% 0805 pull-ups for I2C and 1-Wire,0.05,0.20,DigiKey
R5-R6,2,100k resistor,Yageo,RC0805FR-07100KL,100k 1% 0805 voltage divider for battery/solar ADC,0.05,0.10,DigiKey
R7,1,330 ohm resistor,Yageo,RC0805FR-07330RL,330 ohm 1% 0805 LED current limiting,0.05,0.05,DigiKey
R8,1,10k resistor,Yageo,RC0805FR-0710KL,10k 1% 0805 mode button pull-up,0.05,0.05,DigiKey
SW1,1,Tactile button (internal),C&K,PTS636SM50SMTR LFS,6mm SMD tactile switch for mode/calibrate,0.30,0.30,DigiKey
,,,Total (single mussel config),,,86.85,
