Sap Watch — Bill of Materials
Item,Qty,Reference,Part,Package,Supplier,PartNo,UnitUSD,TotalUSD,Notes
1,1,U1,STM32WL55JC,48-QFN-7x7,ST,STM32WL55JC,8.50,8.50,Dual-core M4+M0+ with internal sub-GHz LoRa radio
2,1,U2,ADS122U04,TSSOP-16,TI,ADS122U04,6.40,6.40,24-bit 4-channel delta-sigma ADC UART interface
3,1,U3,TPS63020,TSSOP-16,TI,TPS63020,3.20,3.20,1.8-5.5V to 3.3V buck-boost 2A
4,1,U4,MCP73831-2ACI,SOT-23-5,Microchip,MCP73831-2ACI,0.90,0.90,Linear Li-ion charger 100mA
5,1,U5,MAX17048G+T,SOT-23-8,Maxim,MAX17048G+T,2.20,2.20,Fuel gauge I2C
6,1,U6,SHT45,DFN-4,Sensirion,SHT45,1.80,1.80,Temp/humidity sensor ±0.1C
7,1,U7,TSL2591FN,6-TLLC,AMS,TSL2591,3.50,3.50,Ambient light sensor 0.1-40000 lux
8,1,U8,INA180A2,SOT-23-5,TI,INA180A2,0.80,0.80,Current-sense amplifier for heater safety
9,1,U9,W25Q16JVSN,SOIC-8,Winbond,W25Q16JVSN,0.40,0.40,2MB external flash for log buffer (optional)
10,1,DS18B20,TO-92,Maxim,DS18B20,1.20,1.20,Sapwood temp sensor parasitic 1-W
11,2,TH1 TH2,NCP18XH103F03RB,0805,Murata,NCP18XH103F03RB,0.30,0.60,10k NTC thermistor ±1% B3380
12,1,HEAT,Constantan heater coil,Custom,Custom,40Ω coil,0.00,0.00,40Ω constantan wire on PTFE core 30mm active
13,3,PROBE,Stainless probe needles,Custom,Custom,1.2mm×30mm,0.00,0.00,18-8 stainless 30mm 1.2mm dia sheath
14,1,Q1,AO3400A,SOT-23,AOS,AO3400A,0.10,0.10,N-channel MOSFET heater driver
15,1,Q2,AO3401A,SOT-23,AOS,AO3401A,0.10,0.10,P-channel MOSFET ADC power gate
16,1,Q3,FDN5618P,SOT-23-3,ONSemi,FDN5618P,0.20,0.20,P-channel high-side heater switch
17,1,F1,72C thermal fuse,Cyl 6x12mm,Bell,B72200T0400K072,0.60,0.60,72C one-shot thermal fuse in heater needle
18,1,CRY1,32.768 kHz crystal,AB-327-SM,Abracon,ABS07-32.768KHZ,0.60,0.60,LSE crystal for RTC
19,1,ANT1,868 MHz whip antenna,U.FL,Custom,86mm-whip,1.50,1.50,Quarter-wave whip 868/915 MHz U.FL
20,1,J1,U.FL connector,SMD,Hirose,U.FL-R-SMT,0.50,0.50,PCB antenna connector
21,1,J2,PG7 cable gland,Panel,CableGland,PG7-black,0.30,0.30,IP68 cable gland for probe cable
22,1,J3,USB-C 2.0,SMD,Amphenol,12401548E4#2A,0.80,0.80,USB-C for power/charging/debug (optional)
23,1,J4,Tag-Connect TC2030,SMD,Tag-Connect,TC2030-IDC,0.60,0.60,SWD programming connector (footprint only)
24,1,BAT1,18650 holder,SMD,Keeper,18650-PC03,1.20,1.20,18650 battery holder SMD
25,1,SOLAR1,1W 6V monocrystalline,Wire,Custom,1W-6V-panel,2.50,2.50,1W solar panel 70x50mm outdoor
26,3,D1 D2 D3,LED 0805,0805,Lite-On,LTST-C193,0.10,0.30,Red/Green/Amber status LEDs
27,2,S1 S2,6x6mm tactile switch,SMD,Omron,B3U-1000P,0.20,0.40,Program + Mode buttons
28,4,R1 R2 R3 R4,10k 0.1% 25ppm,0805,Yageo,RT0805BRD0710KL,0.15,0.60,Precision ref resistors for thermistor dividers
29,1,R5,0.1Ω 1% sense,0805,Vishay,RCWE0805R100F,0.20,0.20,Heater current-sense resistor
30,4,R6 R7 R8 R9,4.7k,0805,Yageo,RC0805FR-074K7L,0.01,0.04,I2C pull-ups + 1-W pull-up
31,4,R10 R11 R12 R13,100k,0805,Yageo,RC0805FR-07100KL,0.01,0.04,Voltage dividers for battery/solar ADC
32,4,C1 C2 C3 C4,10uF 10V X5R,0805,Murata,GRM21BR61A106KE19,0.05,0.20,Bulk decoupling
33,6,C5-C10,100nF X7R,0603,Murata,GRM188R71H104KA57,0.02,0.12,Local decoupling
34,1,C11,22uF 6.3V X5R,0805,Murata,GRM21BR60J226ME39,0.10,0.10,VDDRF decoupling
35,1,C12,1uF X7R,0603,Murata,GRM188R71C105KA12,0.03,0.03,VDDSMPS capacitor
36,1,L1,2.2uH inductor,0805,Murata,LQM21PN2R2ME,0.20,0.20,TPS63020 inductor
37,1,L2,Ferrite bead,0805,Murata,BLM21PG121SN1D,0.10,0.10,VDDRF ferrite isolation
38,1,ENC1,IP68 ASA enclosure,Custom,Polycase,WC-101-65-40-ASA,3.50,3.50,UV-stabilized ASA 100x65x40mm
39,1,MOUNT1,Ratchet strap 25mm x 1m,Custom,Hardware,strap-ratchet,1.00,1.00,Tree mount strap
40,1,JIG1,Drill guide jig,3D-printed,Custom,drill-jig-v1,0.50,0.50,Parallel-hole drill guide for probe install
41,1,CABLE1,6-conductor shielded cable,Custom,Custom,6C-1m-22awg,1.50,1.50,1m shielded probe cable
42,1,PCB1,Sap Watch PCB,4-layer,Custom,sap-watch-pcb,8.00,8.00,4-layer FR4 50x80mm ENIG

,,,Subtotal electronics+mech,,,,$56.39,Does not include 18650 cell (user-supplied)
