Component,Part,Quantity,Unit Price (USD),Total (USD),Source,Notes
ESP32-C3,Espressif ESP32-C3-MINI-1,1,2.20,2.20,LCSC,RISC-V 160MHz 400KB SRAM 4MB flash
ADS122U04,TI ADS122U04,1,4.50,4.50,DigiKey,24-bit 2kHz delta-sigma ADC SPI
MEMS TCD Element,Applied Sensor MCS-100 TCD hot-wire bridge,1,8.00,8.00,AppliedSensor,OEM MEMS thermal-conductivity 1uL cell (Parylene-coated)
BME280,Bosch BME280,1,2.50,2.50,LCSC,Ambient temp/humidity/pressure I2C
SSD1306 OLED,0.96" 128x64 I2C OLED,1,2.00,2.00,LCSC,Monochrome display
microSD Socket,Molex 503398-1892,1,0.30,0.30,LCSC,microSD card slot SPI
TP4056,TP4056 Li-ion charger,1,0.30,0.30,LCSC,USB-C charging
MCP1640B,Microchip MCP1640B boost 3.7→5.0V,1,1.20,1.20,DigiKey,5V rail for pump+heaters
AP2112-3.3,AP2112 LDO 3.3V 600mA,1,0.20,0.20,LCSC,Digital 3.3V rail
LP5907MFX-1.8,TI LP5907 LDO 1.8V 250mA,1,0.80,0.80,DigiKey,Analog 1.8V rail for TCD bridge
IRLML2502,IRLML2502 N-MOSFET SOT-23,4,0.15,0.60,LCSC,Heater+pump+valve+fan low-side switches
USB-C Connector,Amphenol 12401598E4#2A,1,0.50,0.50,LCSC,USB-C for charging
18650 Battery Holder,Kylin 18650 spring holder,1,0.50,0.50,LCSC,Single 18650 cell
WS2812B,WS2812B 5050 RGB LED,1,0.20,0.20,LCSC,Status indicator
Pump,6V DC micro-diaphragm pump 0.3L/min,1,4.00,4.00,Amazon,Sample/carrier gas pump
3-Way Solenoid Valve,Lee LHDA-0533210H 3-way 12V (or 5V equiv),1,6.00,6.00,Lee Co,Sample/carrier select
Column,1m x 0.75mm ID SS tube packed 5% OV-101 on Chromosorb WHP,1,8.00,8.00,Restek,Micro-packed GC column
Preconcentrator Tube,1/16" SS tube 30mm packed Tenax TA 20mg,1,1.50,1.50,Sigma-Aldrich,Tenax TA 60/80 mesh
Tenax TA,Tenax TA adsorbent 60/80 mesh 1g,1,3.00,3.00,Sigma-Aldrich,Sorbent (enough for ~50 cartridges)
Nichrome Wire,Nichrome-60 0.1mm 12ohm/m,1,1.00,1.00,Amazon,Heater wire for column+preconc
NTC Thermistor 10k,10kΩ β=3950 0805 NTC,3,0.10,0.30,LCSC,Column+preconc+TCD temp sensing
30mm Blower Fan,30mm 5V radial blower,1,2.50,2.50,Amazon,Column cooldown fan
Aerogel Blanket,5mm aerogel insulation 100x50mm,1,2.00,2.00,BuyAerogel,Heat insulation for column zone
PTFE Ferrules,1/16" PTFE ferrule set,10,0.10,1.00,Restek,Fluidic fittings
Glass Wool,Silanized glass wool,1,1.00,1.00,Sigma-Aldrich,Column/preconc plug
Activated Carbon Filter,Inline 6mm carbon filter 20mm,1,1.00,1.00,Amazon,Carrier gas scrubber
Charcoal Exhaust Trap,6mm charcoal exhaust filter,1,1.00,1.00,Amazon,Vent trap
Tactile Buttons,6x6mm SMD tactile switch,2,0.10,0.20,LCSC,RUN/MODE buttons
0.1uF Cap 0805,MLCC X7R 100nF,15,0.01,0.15,LCSC,Decoupling caps
10uF Cap 0805,Tantalum 10uF 16V,5,0.10,0.50,LCSC,Power supply bulk
1uF Cap 0805,X7R 1uF 50V,5,0.05,0.25,LCSC,Analog decoupling
10k Resistor 0805,1% 1/8W,8,0.01,0.08,LCSC,NTC dividers + I2C pullups
100k Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,Battery divider
1M Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,Battery divider
4.7k Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,I2C pull-ups
100 Resistor 0805,1% 1/8W,4,0.01,0.04,LCSC,Heater current limit
10uH Inductor,SMD power inductor 10uH,1,0.20,0.20,LCSC,MCP1640B boost inductor
40MHz Crystal,Abracon ABM8G-40.000MHz,1,0.30,0.30,LCSC,ESP32-C3 system crystal
32.768kHz Crystal,Abracon ABS07-32.768kHz,1,0.20,0.20,LCSC,ESP32-C3 RTC crystal
PCB,4-layer 142x36mm,1,5.00,5.00,JLCPCB,Custom PCB fabrication
3D Printed Enclosure,PLA enclosure + end caps,1,2.00,2.00,Local,3D printed flashlight-style case
M3 Screws,M3x6mm nylon screws,6,0.05,0.30,Local,Assembly
O-ring,10mm ID silicone O-ring,2,0.10,0.20,Local,Enclosure sealing
,,Total:,,"$64.39"
