Item,Part Number,Description,Quantity,Unit Price (USD),Total Price (USD),Supplier,Package/Footprint
1,STM32G474RET6,Main MCU - 170 MHz Cortex-M4F, 512KB flash,1,5.80,5.80,ST/LCSC,LQFP64
2,ESP32-C3-MINI-1,Wireless module - BLE 5.0 + WiFi,1,2.60,2.60,Espressif/LCSC,SMD module
3,TSL1402R,256-pixel linear CCD array,1,9.20,9.20,Ams/Taobao,DIP-8
4,OPT101,Monolithic photodiode + single-supply TIA,1,4.10,4.10,TI/DigiKey,DIP-8
5,UVTOP255-FW,255nm UV-C LED 1mW,1,8.50,8.50,Roithner/SETi,TO-39
6,UVTOP280-FW,280nm UV-C LED 0.8mW,1,7.20,7.20,Roithner/SETi,TO-39
7,RL340-10-30,340nm UV-A LED 10mW,1,3.80,3.80,Ledstar/LCSC,SMD 3535
8,NCSU033B-T1,365nm UV-A LED 350mW,1,1.90,1.90,Nichia/LCSC,SMD 3535
9,NCSU033A-T1R,405nm violet LED 350mW,1,1.40,1.40,Nichia/LCSC,SMD 3535
10,NCSU219B-V1,440nm blue LED,1,1.20,1.20,Nichia/LCSC,SMD 3535
11,NCSU219C-V1,470nm blue LED,1,1.10,1.10,Nichia/LCSC,SMD 3535
12,NCSU219D-V1,525nm green LED,1,1.10,1.10,Nichia/LCSC,SMD 3535
13,BP255-12,255nm bandpass filter 12nm FWHM,1,2.20,2.20,Edmund/Optics,Ø12.5mm
14,BP280-12,280nm bandpass filter 12nm FWHM,1,2.00,2.00,Edmund/Optics,Ø12.5mm
15,BP340-12,340nm bandpass filter 12nm FWHM,1,1.80,1.80,Edmund/Optics,Ø12.5mm
16,BP365-12,365nm bandpass filter 12nm FWHM,1,1.60,1.60,Edmund/Optics,Ø12.5mm
17,BP405-12,405nm bandpass filter 12nm FWHM,1,1.50,1.50,Edmund/Optics,Ø12.5mm
18,BP440-12,440nm bandpass filter 12nm FWHM,1,1.50,1.50,Edmund/Optics,Ø12.5mm
19,BP470-12,470nm bandpass filter 12nm FWHM,1,1.50,1.50,Edmund/Optics,Ø12.5mm
20,BP525-12,525nm bandpass filter 12nm FWHM,1,1.50,1.50,Edmund/Optics,Ø12.5mm
21,LP320,Long-pass filter 320nm cut-on,1,2.20,2.20,Edmund/Optics,Ø25mm
22,GR600-500,Reflective diffraction grating 600 lines/mm blazed 500nm,1,3.50,3.50,Thorlabs,12.7×12.7mm
23,28BYJ-48,5V unipolar stepper motor for LED wheel,1,1.50,1.50,Generic/AliExpress,round
24,ULN2003APG,Darlington array for 28BYJ-48 driver,1,0.30,0.30,TI/DigiKey,DIP-16
25,SH1106-1.3,1.3" OLED display 128x64 I2C,1,2.80,2.80,Solomon/Generic,module
26,MicroSD-socket,MicroSD card socket push-push,1,0.60,0.60,Amphenol/DigiKey,SMD
27,DS18B20,Digital temperature sensor ±0.5°C,1,0.80,0.80,Maxim/DigiKey,TO-92
28,MCP73831T-2ACI,Single-cell LiPo charge controller 500mA,1,0.70,0.70,Microchip/DigiKey,SOT-23-5
29,TPS63020,3.3V buck-boost converter 2A,1,2.10,2.10,TI/DigiKey,QFN-14
30,INA181A1,Current sense amplifier 20V/V,1,0.50,0.50,TI/DigiKey,SOT-563
31,DRV8833,Dual H-bridge motor driver,1,0.80,0.80,TI/DigiKey,SOIC-16
32,OPA548T,High-current op-amp for LED driver 3A,1,1.90,1.90,TI/DigiKey,TO-220-7
33,MCP4131-103,Digital potentiometer 10kΩ SPI,1,0.90,0.90,Microchip/DigiKey,SOIC-8
34,LP403450,3.7V 1800mAh LiPo battery,1,4.50,4.50,Generic/AliExpress,40×34×5mm
35,AH49E,Hall effect sensor for wheel home position,1,0.40,0.40,Diodes/LCSC,SOT-23
36,74HC138,3-to-8 line decoder for LED selection,1,0.20,0.20,TI/DigiKey,SOIC-16
37,USB-C-16P,USB Type-C receptacle 16-pin,1,0.40,0.40,Generic/LCSC,SMD
38,Crystal-32.768,32.768 kHz crystal for RTC,1,0.15,0.15,Generic/LCSC,SMD 3215
39,0603 passives,Resistors/capacitors/ferrite beads set,50,0.02,1.00,Generic/LCSC,0603
40,PCB-4layer,4-layer PCB 100x60mm,5,0.40,2.00,JLCPCB,custom
41,Quartz-cuvette,UV quartz fluorescence cuvette 10mm path,1,3.20,3.20,AliExpress,12.5×12.5×45mm
42,Enclosure-3D,3D-printed PETG enclosure + wheel,1,0.00,0.00,DIY,custom
43,Lens-collimation,Aspheric collimation lens Ø6mm,1,1.20,1.20,Thorwarts/AliExpress,Ø6mm
44,Slit-0.2mm,Adjustable slit 0.2mm for spectrometer,1,0.80,0.80,AliExpress,custom
45,Reed-switch,Magnetic reed switch for lid interlock,1,0.15,0.15,Generic/LCSC,glass
46,W25Q128JVSIQ,16MB SPI flash for EEM library storage,1,0.60,0.60,Winbond/LCSC,SOIC-8
47,TPS7A4700,Low-noise LDO 3.3V for analog rail,1,0.90,0.90,TI/DigiKey,TO-263
48,TPS7A3000,Negative LDO for -3.3V analog rail,1,0.90,0.90,TI/DigiKey,TO-263
49,STM32-Header,SWD programming header 2x5 1.27mm,1,0.10,0.10,Generic/LCSC,SMD
50,Buzzer-5V,Piezo buzzer for alerts,1,0.20,0.20,Generic/LCSC,SMD
51,M2-screws,M2 stainless screws/nuts set,20,0.02,0.40,AliExpress,M2
52,PTFE-cuvette-holder,CNC-machined PTFE cuvette holder,1,0.50,0.50,DIY,custom
,,TOTAL,,1,,72.80,,
